Ship_Mode,Segment,State,Region,Category,Sub_Category,Sales,Discount,Profit,Discount_%
Second Class,Consumer,Kentucky,South,Furniture,Bookcases,261.96,0,41.9136,0%
Second Class,Consumer,Kentucky,South,Furniture,Chairs,731.94,0,219.582,0%
Second Class,Corporate,California,West,Office Supplies,Labels,14.62,0,6.8714,0%
Standard Class,Consumer,Florida,South,Furniture,Tables,957.5775,0.45,-383.031,0.5-0.8%
Standard Class,Consumer,Florida,South,Office Supplies,Storage,22.368,0.2,2.5164,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Furnishings,48.86,0,14.1694,0%
Standard Class,Consumer,California,West,Office Supplies,Art,7.28,0,1.9656,0%
Standard Class,Consumer,California,West,Technology,Phones,907.152,0.2,90.7152,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Binders,18.504,0.2,5.7825,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Appliances,114.9,0,34.47,0%
Standard Class,Consumer,California,West,Furniture,Tables,1706.184,0.2,85.3092,0.1-0.4%
Standard Class,Consumer,California,West,Technology,Phones,911.424,0.2,68.3568,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Paper,15.552,0.2,5.4432,0.1-0.4%
Standard Class,Consumer,Washington,West,Office Supplies,Binders,407.976,0.2,132.5922,0.1-0.4%
Standard Class,Home Office,Texas,Central,Office Supplies,Appliances,68.81,0.8,-123.858,0.5-0.8%
Standard Class,Home Office,Texas,Central,Office Supplies,Binders,2.544,0.8,-3.816,0.5-0.8%
Standard Class,Consumer,Wisconsin,Central,Office Supplies,Storage,665.88,0,13.3176,0%
Second Class,Consumer,Utah,West,Office Supplies,Storage,55.5,0,9.99,0%
Second Class,Consumer,California,West,Office Supplies,Art,8.56,0,2.4824,0%
Second Class,Consumer,California,West,Technology,Phones,213.48,0.2,16.011,0.1-0.4%
Second Class,Consumer,California,West,Office Supplies,Binders,22.72,0.2,7.384,0.1-0.4%
Standard Class,Corporate,Nebraska,Central,Office Supplies,Art,19.46,0,5.0596,0%
Standard Class,Corporate,Nebraska,Central,Office Supplies,Appliances,60.34,0,15.6884,0%
Second Class,Consumer,Pennsylvania,East,Furniture,Chairs,71.372,0.3,-1.0196,0.1-0.4%
Standard Class,Consumer,Utah,West,Furniture,Tables,1044.63,0,240.2649,0%
Second Class,Consumer,California,West,Office Supplies,Binders,11.648,0.2,4.2224,0.1-0.4%
Second Class,Consumer,California,West,Technology,Accessories,90.57,0,11.7741,0%
Standard Class,Consumer,Pennsylvania,East,Furniture,Bookcases,3083.43,0.5,-1665.0522,0.5-0.8%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,9.618,0.7,-7.0532,0.5-0.8%
Standard Class,Consumer,Pennsylvania,East,Furniture,Furnishings,124.2,0.2,15.525,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Envelopes,3.264,0.2,1.1016,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,86.304,0.2,9.7092,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,6.858,0.7,-5.715,0.5-0.8%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,15.76,0.2,3.546,0.1-0.4%
Second Class,Home Office,Texas,Central,Office Supplies,Paper,29.472,0.2,9.9468,0.1-0.4%
First Class,Corporate,Texas,Central,Technology,Phones,1097.544,0.2,123.4737,0.1-0.4%
First Class,Corporate,Texas,Central,Furniture,Furnishings,190.92,0.6,-147.963,0.5-0.8%
Standard Class,Home Office,Texas,Central,Office Supplies,Envelopes,113.328,0.2,35.415,0.1-0.4%
Standard Class,Home Office,Texas,Central,Furniture,Bookcases,532.3992,0.32,-46.9764,0.1-0.4%
Standard Class,Home Office,Texas,Central,Furniture,Chairs,212.058,0.3,-15.147,0.1-0.4%
Standard Class,Home Office,Texas,Central,Technology,Phones,371.168,0.2,41.7564,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Technology,Phones,147.168,0.2,16.5564,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Storage,77.88,0,3.894,0%
Standard Class,Corporate,Florida,South,Office Supplies,Storage,95.616,0.2,9.5616,0.1-0.4%
First Class,Corporate,Minnesota,Central,Technology,Accessories,45.98,0,19.7714,0%
First Class,Corporate,Minnesota,Central,Office Supplies,Binders,17.46,0,8.2062,0%
Second Class,Consumer,Michigan,Central,Office Supplies,Storage,211.96,0,8.4784,0%
Standard Class,Consumer,Delaware,East,Technology,Accessories,45,0,4.95,0%
Standard Class,Consumer,Delaware,East,Technology,Phones,21.8,0,6.104,0%
Standard Class,Consumer,Indiana,Central,Office Supplies,Binders,38.22,0,17.9634,0%
Standard Class,Consumer,Indiana,Central,Office Supplies,Labels,75.18,0,35.3346,0%
Standard Class,Consumer,Indiana,Central,Furniture,Furnishings,6.16,0,2.9568,0%
Standard Class,Consumer,Indiana,Central,Furniture,Chairs,89.99,0,17.0981,0%
Standard Class,Corporate,New York,East,Office Supplies,Fasteners,15.26,0,6.2566,0%
Standard Class,Corporate,New York,East,Technology,Phones,1029.95,0,298.6855,0%
First Class,Consumer,New York,East,Office Supplies,Storage,208.56,0,52.14,0%
First Class,Consumer,New York,East,Office Supplies,Paper,32.4,0,15.552,0%
First Class,Consumer,New York,East,Furniture,Chairs,319.41,0.1,7.098,0.1-0.4%
First Class,Consumer,New York,East,Office Supplies,Paper,14.56,0,6.9888,0%
First Class,Consumer,New York,East,Technology,Accessories,30,0,3.3,0%
First Class,Consumer,New York,East,Office Supplies,Binders,48.48,0.2,16.362,0.1-0.4%
First Class,Consumer,New York,East,Office Supplies,Art,1.68,0,0.84,0%
Standard Class,Consumer,California,West,Technology,Accessories,13.98,0,6.1512,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,25.824,0.2,9.3612,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Paper,146.73,0,68.9631,0%
Standard Class,Consumer,California,West,Furniture,Furnishings,79.76,0,22.3328,0%
Standard Class,Home Office,Illinois,Central,Furniture,Chairs,213.115,0.3,-15.2225,0.1-0.4%
Standard Class,Corporate,Arizona,West,Office Supplies,Art,1113.024,0.2,111.3024,0.1-0.4%
Standard Class,Corporate,Arizona,West,Technology,Phones,167.968,0.2,62.988,0.1-0.4%
First Class,Consumer,Virginia,South,Office Supplies,Paper,75.88,0,35.6636,0%
Standard Class,Consumer,New York,East,Office Supplies,Binders,4.616,0.2,1.731,0.1-0.4%
Second Class,Consumer,Michigan,Central,Office Supplies,Paper,19.05,0,8.763,0%
Standard Class,Consumer,Tennessee,South,Furniture,Chairs,831.936,0.2,-114.3912,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Furniture,Furnishings,97.04,0.2,1.213,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Office Supplies,Storage,72.784,0.2,-18.196,0.1-0.4%
First Class,Corporate,Texas,Central,Office Supplies,Binders,1.248,0.8,-1.9344,0.5-0.8%
First Class,Corporate,Texas,Central,Furniture,Furnishings,9.708,0.6,-5.8248,0.5-0.8%
First Class,Corporate,Texas,Central,Office Supplies,Storage,27.24,0.2,2.724,0.1-0.4%
Second Class,Consumer,Texas,Central,Furniture,Furnishings,19.3,0.6,-14.475,0.5-0.8%
First Class,Corporate,Alabama,South,Office Supplies,Appliances,208.16,0,56.2032,0%
First Class,Corporate,Alabama,South,Office Supplies,Binders,16.74,0,8.0352,0%
Standard Class,Consumer,California,West,Office Supplies,Art,14.9,0,4.172,0%
Standard Class,Consumer,California,West,Office Supplies,Storage,21.39,0,6.2031,0%
Standard Class,Corporate,North Carolina,South,Office Supplies,Envelopes,200.984,0.2,62.8075,0.1-0.4%
First Class,Home Office,Illinois,Central,Office Supplies,Storage,230.376,0.2,-48.9549,0.1-0.4%
Second Class,Consumer,South Carolina,South,Furniture,Chairs,301.96,0,33.2156,0%
